direction,year,month,day,class,class_count
QB,24,6,11,2,30297
QB,24,2,15,3,6536
QB,24,3,17,3,3864
QB,24,2,26,6,644
QB,24,4,25,4,366
QB,24,3,15,8,247
QB,24,1,9,4,223
QB,24,4,24,6,675
QB,24,5,17,14,69
QB,24,4,8,7,40
QB,25,3,27,2,3839
QB,25,3,17,5,2302
QB,24,7,29,7,32
QB,24,7,22,5,3709
QB,24,5,14,9,1490
QB,24,4,7,1,71
QB,24,4,27,4,146
QB,24,8,7,6,649
QB,24,6,8,1,136
QB,24,7,24,1,97
QB,24,6,14,12,42
QB,24,8,23,10,22
QB,24,3,4,3,6355
QB,24,6,21,6,657
QB,24,7,22,9,1545
QB,24,7,5,3,5133
QB,24,3,18,12,25
QB,24,2,1,9,1505
QB,24,5,17,9,1366
QB,24,3,26,6,602
QB,25,3,2,2,15996
QB,24,7,28,1,136
QB,24,2,16,7,61
QB,24,6,1,7,3
QB,24,7,10,9,36
QB,24,1,9,11,30
QB,24,6,3,7,31
QB,24,1,20,2,36954
QB,24,8,27,5,4067
QB,24,2,7,2,32965
QB,24,8,23,5,3784
QB,24,1,19,3,5718
QB,24,1,18,3,6439
QB,24,1,21,3,3621
QB,24,2,13,4,139
QB,24,8,21,6,688
QB,24,2,14,7,39
QB,24,1,9,8,230
QB,24,7,12,12,58
QB,24,3,16,4,135
QB,24,7,18,8,268
QB,24,1,12,4,178
QB,24,2,20,1,60
QB,24,2,16,12,45
QB,24,5,2,1,121
QB,25,2,20,3,1970
QB,24,7,8,11,31
QB,24,7,23,5,3654
QB,24,2,20,12,36
QB,24,5,19,9,478
QB,24,5,29,6,616
QB,24,7,15,6,617
QB,24,7,26,3,5988
QB,24,5,11,9,675
QB,24,5,11,8,128
QB,24,4,11,10,20
QB,24,5,24,1,163
QB,24,5,14,4,236
QB,24,4,24,14,20
QB,24,4,4,10,19
QB,24,3,5,7,34
QB,24,1,16,7,32
QB,24,1,2,1,41
QB,24,5,25,10,3
QB,24,7,15,5,3576
QB,24,7,31,3,6074
QB,24,3,10,2,32938
QB,24,8,18,9,417
QB,24,2,24,5,1609
QB,24,6,12,3,5710
QB,24,6,13,6,702
QB,24,5,15,4,252
QB,24,1,6,4,108
QB,24,3,19,4,214
QB,24,6,18,4,257
QB,24,1,20,6,252
QB,24,2,26,10,27
QB,24,8,7,14,143
QB,24,5,26,6,74
QB,24,7,5,11,19
QB,24,6,19,14,16
QB,24,3,8,11,33
QB,24,3,16,14,12
QB,24,4,10,14,16
QB,24,6,23,2,38768
QB,24,5,13,5,3424
QB,24,1,16,3,5900
QB,24,6,21,5,3470
QB,24,7,24,9,1651
QB,24,1,20,5,1517
QB,24,5,12,14,8
QB,24,4,27,6,272
QB,24,2,4,7,26
QB,24,1,26,8,262
QB,24,8,2,12,61
QB,24,4,5,12,36
QB,24,7,5,8,165
QB,24,5,21,1,175
QB,24,8,4,8,81
QB,24,5,31,2,29149
QB,24,2,13,3,5421
QB,24,4,3,2,27948
QB,24,8,17,2,39655
QB,24,8,5,5,3608
QB,24,8,7,9,1502
QB,24,5,3,5,3402
QB,24,1,16,4,186
QB,24,6,19,9,1516
QB,24,3,26,9,1470
QB,24,1,11,14,166
QB,24,1,17,6,570
QB,24,2,17,11,14
QB,24,6,22,6,253
QB,24,8,17,1,88
QB,24,1,2,7,47
QB,24,7,26,14,302
QB,25,1,23,5,2345
QB,24,4,12,11,13
QB,24,5,24,10,24
QB,24,2,7,3,6790
QB,24,7,20,3,4467
QB,24,5,13,6,548
QB,24,5,3,1,128
