direction,year,month,day,class,class_count
SIB,20,5,10,2,34801
SIB,20,1,12,2,57089
SIB,20,4,26,2,24158
SIB,20,7,29,3,8089
SIB,20,7,16,2,40987
SIB,20,12,6,3,3248
SIB,20,12,29,3,4001
SIB,20,3,24,3,5181
SIB,20,11,26,8,150
SIB,20,8,7,11,68
SIB,20,10,28,1,303
SIB,20,6,15,1,799
SIB,20,6,25,12,11
SIB,20,7,13,7,544
SIB,20,6,27,1,779
SIB,20,7,26,6,194
SIB,20,4,29,8,447
SIB,20,1,28,4,437
SIB,20,9,22,11,70
SIB,20,2,16,4,314
SIB,20,6,15,13,51
SIB,20,6,20,8,221
SIB,20,10,2,2,42599
SIB,20,9,28,5,1102
SIB,20,2,7,3,8241
SIB,20,10,14,6,1056
SIB,20,8,11,3,8367
SIB,20,8,30,8,174
SIB,20,6,3,1,633
SIB,20,12,3,10,79
SIB,20,10,6,8,549
SIB,20,5,27,5,1766
SIB,20,12,11,10,159
SIB,20,2,4,10,111
SIB,20,10,23,9,412
SIB,20,9,18,1,1003
SIB,20,5,25,11,21
SIB,20,1,2,7,99
SIB,20,12,22,11,3
SIB,20,8,11,10,185
SIB,20,12,6,4,160
SIB,20,1,16,11,59
SIB,20,9,28,6,646
SIB,20,10,26,2,27776
SIB,20,8,23,2,55445
SIB,20,8,8,1,282
SIB,20,4,23,2,33464
SIB,20,7,18,3,5310
SIB,20,1,6,6,990
SIB,20,4,8,5,1215
SIB,20,5,5,11,82
SIB,20,7,10,9,687
SIB,20,2,19,6,1135
SIB,20,11,24,9,1236
SIB,20,3,6,13,21
SIB,20,4,23,10,64
SIB,20,11,27,6,483
SIB,20,5,9,1,288
SIB,20,1,13,8,465
SIB,20,9,13,4,207
SIB,20,10,17,8,150
SIB,20,8,2,3,4009
SIB,20,1,14,2,45296
SIB,20,1,27,2,44330
SIB,20,2,10,2,43967
SIB,20,5,20,2,40725
SIB,20,10,12,2,26360
SIB,20,7,16,4,341
SIB,20,4,27,3,4681
SIB,20,10,12,6,70
SIB,20,9,26,9,596
SIB,20,5,29,5,1546
SIB,20,8,20,6,1199
SIB,20,5,18,10,425
SIB,20,9,25,11,75
SIB,20,6,15,7,289
SIB,20,9,20,1,98
SIB,20,11,6,10,172
SIB,20,8,11,1,928
SIB,20,6,9,7,266
SIB,20,12,26,6,28
SIB,20,7,9,3,7227
SIB,20,4,6,2,28930
SIB,20,2,29,3,5365
SIB,20,5,17,9,281
SIB,20,3,18,11,86
SIB,20,6,5,4,188
SIB,20,10,7,1,793
SIB,20,2,24,10,113
SIB,20,9,9,8,529
SIB,20,2,10,8,419
SIB,20,3,6,5,1673
SIB,20,1,14,4,351
SIB,20,4,18,11,24
SIB,20,9,16,7,204
SIB,20,12,16,10,137
SIB,20,12,18,2,41193
SIB,20,2,5,2,48886
SIB,20,4,16,2,27838
SIB,20,2,1,3,5642
SIB,20,12,17,2,13207
SIB,20,12,9,3,6151
SIB,20,2,17,1,233
SIB,20,3,30,5,1363
SIB,20,10,17,4,209
SIB,20,9,21,5,1890
SIB,20,6,28,5,453
SIB,20,12,11,6,1048
SIB,20,5,24,1,195
SIB,20,5,23,5,470
SIB,20,6,19,11,66
SIB,20,12,14,9,102
SIB,20,11,19,10,140
SIB,20,1,18,8,200
SIB,20,10,29,10,96
SIB,20,5,3,11,19
SIB,20,8,28,4,156
SIB,20,2,6,7,241
SIB,20,2,9,7,24
SIB,20,8,12,3,8568
SIB,20,10,21,8,190
SIB,20,7,14,6,1239
SIB,20,6,6,3,4125
SIB,20,10,16,5,1065
SIB,20,5,6,3,6192
SIB,20,11,27,5,1206
SIB,20,10,14,5,1929
SIB,20,9,29,6,462
SIB,20,10,24,1,736
SIB,20,3,10,8,532
SIB,20,6,12,4,189
SIB,20,8,23,6,105
SIB,20,8,19,13,23
SIB,20,2,16,8,133
SIB,20,1,27,10,133
SIB,20,8,28,7,164
SIB,20,8,21,11,83
SIB,20,8,31,2,47318
SIB,20,5,15,3,6327
SIB,20,5,9,3,3119
SIB,20,1,17,5,1680
SIB,20,7,21,8,443
SIB,20,1,25,9,522
SIB,20,5,3,9,229
SIB,20,11,29,9,331
SIB,20,2,25,12,24
SIB,20,1,10,6,1000
SIB,20,9,17,9,559
SIB,20,12,17,5,101
SIB,20,12,8,10,102
SIB,20,12,2,5,1021
SIB,20,7,12,1,615
SIB,20,1,7,10,97
SIB,20,4,23,9,1115
SIB,20,9,30,7,167
SIB,20,2,1,6,366
SIB,20,7,7,3,8303
SIB,20,9,8,2,46838
SIB,20,5,17,2,37145
SIB,20,12,1,5,1821
SIB,20,5,18,3,7122
SIB,20,10,8,6,1009
SIB,20,1,26,1,76
SIB,20,3,12,4,362
SIB,20,11,17,1,687
SIB,20,9,25,6,1068
SIB,20,9,11,6,1015
SIB,20,2,8,4,294
SIB,20,5,30,4,78
SIB,20,11,23,6,282
SIB,20,10,26,6,175
SIB,20,3,14,9,579
SIB,20,1,3,11,69
SIB,20,4,24,9,928
SIB,20,4,8,4,96
SIB,20,4,2,4,112
SIB,20,9,23,11,61
SIB,20,11,28,2,48057
SIB,20,2,17,4,318
SIB,20,9,6,3,3890
SIB,20,5,30,10,145
SIB,20,6,10,3,8312
SIB,20,1,16,9,1154
SIB,20,8,3,1,803
SIB,20,3,20,7,178
SIB,20,9,18,10,209
SIB,20,7,4,11,20
