direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,23,11,13,4,208,231113,2023-11-13,460
QB,23,11,13,11,20,231113,2023-11-13,460
QB,23,11,13,9,1554,231113,2023-11-13,460
QB,23,11,13,2,33659,231113,2023-11-13,460
QB,23,11,13,6,713,231113,2023-11-13,460
QB,23,11,13,1,77,231113,2023-11-13,460
QB,23,11,13,3,6465,231113,2023-11-13,460
QB,23,11,13,12,42,231113,2023-11-13,460
QB,23,11,13,8,242,231113,2023-11-13,460
QB,23,11,13,10,25,231113,2023-11-13,460
QB,23,11,13,5,3365,231113,2023-11-13,460
QB,23,11,13,13,1,231113,2023-11-13,460
QB,23,11,13,7,39,231113,2023-11-13,460
QB,23,11,13,14,27,231113,2023-11-13,460
QB,23,11,14,7,56,231114,2023-11-14,461
QB,23,11,14,1,72,231114,2023-11-14,461
QB,23,11,14,13,1,231114,2023-11-14,461
QB,23,11,14,8,274,231114,2023-11-14,461
QB,23,11,14,2,31642,231114,2023-11-14,461
QB,23,11,14,6,755,231114,2023-11-14,461
QB,23,11,14,14,44,231114,2023-11-14,461
QB,23,11,14,9,1655,231114,2023-11-14,461
QB,23,11,14,4,329,231114,2023-11-14,461
QB,23,11,14,11,38,231114,2023-11-14,461
QB,23,11,14,12,39,231114,2023-11-14,461
QB,23,11,14,10,27,231114,2023-11-14,461
QB,23,11,14,3,6415,231114,2023-11-14,461
QB,23,11,14,5,3394,231114,2023-11-14,461
QB,23,11,15,8,302,231115,2023-11-15,462
QB,23,11,15,4,203,231115,2023-11-15,462
QB,23,11,15,1,80,231115,2023-11-15,462
QB,23,11,15,12,72,231115,2023-11-15,462
QB,23,11,15,10,35,231115,2023-11-15,462
QB,23,11,15,11,36,231115,2023-11-15,462
QB,23,11,15,2,31820,231115,2023-11-15,462
QB,23,11,15,7,60,231115,2023-11-15,462
QB,23,11,15,6,756,231115,2023-11-15,462
QB,23,11,15,14,24,231115,2023-11-15,462
QB,23,11,15,3,6601,231115,2023-11-15,462
QB,23,11,15,9,1725,231115,2023-11-15,462
