direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,19,10,16,5,1969,191016,2019-10-16,422
QB,19,10,16,12,2,191016,2019-10-16,422
QB,19,10,16,13,7,191016,2019-10-16,422
QB,19,10,16,9,1866,191016,2019-10-16,422
QB,19,10,16,3,7056,191016,2019-10-16,422
QB,19,10,16,2,35851,191016,2019-10-16,422
QB,19,10,16,7,150,191016,2019-10-16,422
QB,19,10,16,6,1020,191016,2019-10-16,422
QB,19,10,16,4,516,191016,2019-10-16,422
QB,19,10,16,10,116,191016,2019-10-16,422
QB,19,10,16,11,68,191016,2019-10-16,422
QB,19,10,16,14,1462,191016,2019-10-16,422
QB,19,10,16,8,480,191016,2019-10-16,422
QB,19,10,16,1,107,191016,2019-10-16,422
QB,19,10,17,11,64,191017,2019-10-17,423
QB,19,10,17,3,7432,191017,2019-10-17,423
QB,19,10,17,10,99,191017,2019-10-17,423
QB,19,10,17,7,118,191017,2019-10-17,423
QB,19,10,17,5,2102,191017,2019-10-17,423
QB,19,10,17,9,1992,191017,2019-10-17,423
QB,19,10,17,4,436,191017,2019-10-17,423
QB,19,10,17,13,8,191017,2019-10-17,423
QB,19,10,17,12,6,191017,2019-10-17,423
QB,19,10,17,6,962,191017,2019-10-17,423
QB,19,10,17,8,533,191017,2019-10-17,423
QB,19,10,17,2,42715,191017,2019-10-17,423
QB,19,10,17,1,132,191017,2019-10-17,423
QB,19,10,18,8,471,191018,2019-10-18,424
QB,19,10,18,1,189,191018,2019-10-18,424
QB,19,10,18,10,149,191018,2019-10-18,424
QB,19,10,18,7,161,191018,2019-10-18,424
QB,19,10,18,12,2,191018,2019-10-18,424
QB,19,10,18,5,1834,191018,2019-10-18,424
QB,19,10,18,6,1039,191018,2019-10-18,424
QB,19,10,18,4,461,191018,2019-10-18,424
QB,19,10,18,3,6723,191018,2019-10-18,424
QB,19,10,18,2,42397,191018,2019-10-18,424
QB,19,10,18,13,9,191018,2019-10-18,424
QB,19,10,18,9,1774,191018,2019-10-18,424
QB,19,10,18,11,61,191018,2019-10-18,424
QB,19,10,19,3,4509,191019,2019-10-19,425
QB,19,10,19,8,207,191019,2019-10-19,425
QB,19,10,19,2,48445,191019,2019-10-19,425
QB,19,10,19,13,6,191019,2019-10-19,425
QB,19,10,19,5,966,191019,2019-10-19,425
QB,19,10,19,4,331,191019,2019-10-19,425
QB,19,10,19,11,40,191019,2019-10-19,425
QB,19,10,19,10,74,191019,2019-10-19,425
QB,19,10,19,12,1,191019,2019-10-19,425
QB,19,10,19,1,121,191019,2019-10-19,425
QB,19,10,19,7,48,191019,2019-10-19,425
QB,19,10,19,6,396,191019,2019-10-19,425
QB,19,10,19,9,707,191019,2019-10-19,425
QB,19,10,20,9,383,191020,2019-10-20,426
QB,19,10,20,5,535,191020,2019-10-20,426
QB,19,10,20,7,3,191020,2019-10-20,426
QB,19,10,20,2,46310,191020,2019-10-20,426
QB,19,10,20,10,10,191020,2019-10-20,426
QB,19,10,20,8,104,191020,2019-10-20,426
QB,19,10,20,11,24,191020,2019-10-20,426
QB,19,10,20,1,43,191020,2019-10-20,426
QB,19,10,20,6,120,191020,2019-10-20,426
QB,19,10,20,4,248,191020,2019-10-20,426
QB,19,10,20,12,1,191020,2019-10-20,426
QB,19,10,20,13,1,191020,2019-10-20,426
QB,19,10,20,3,3643,191020,2019-10-20,426
QB,19,10,21,9,1920,191021,2019-10-21,430
QB,19,10,21,2,40743,191021,2019-10-21,430
QB,19,10,21,4,372,191021,2019-10-21,430
QB,19,10,21,10,106,191021,2019-10-21,430
QB,19,10,21,11,43,191021,2019-10-21,430
QB,19,10,21,1,101,191021,2019-10-21,430
QB,19,10,21,12,2,191021,2019-10-21,430
QB,19,10,21,13,3,191021,2019-10-21,430
QB,19,10,21,3,7432,191021,2019-10-21,430
QB,19,10,21,5,1767,191021,2019-10-21,430
