direction,year,month,day,class,class_count,year_month_day,pre_post_bool,month_day
QB,21,3,31,7,59,210331,0,331
QB,21,3,31,6,829,210331,0,331
QB,21,3,31,12,1,210331,0,331
QB,21,3,31,11,55,210331,0,331
QB,21,3,31,5,2001,210331,0,331
QB,21,3,31,8,482,210331,0,331
QB,21,3,31,4,192,210331,0,331
QB,21,3,31,3,7890,210331,0,331
QB,21,3,31,1,61,210331,0,331
QB,21,3,31,9,1727,210331,0,331
QB,21,3,31,13,7,210331,0,331
QB,21,3,31,10,97,210331,0,331
QB,21,3,31,2,44769,210331,0,331
QB,21,4,1,10,59,210401,0,401
QB,21,4,1,2,42715,210401,0,401
QB,21,4,1,9,1739,210401,0,401
QB,21,4,1,13,9,210401,0,401
QB,21,4,1,12,4,210401,0,401
QB,21,4,1,4,201,210401,0,401
QB,21,4,1,11,59,210401,0,401
QB,21,4,1,1,67,210401,0,401
QB,21,4,1,6,814,210401,0,401
QB,21,4,1,8,470,210401,0,401
QB,21,4,1,3,7288,210401,0,401
QB,21,4,1,7,49,210401,0,401
QB,21,4,1,5,1958,210401,0,401
QB,21,4,2,13,5,210402,0,402
QB,21,4,2,9,1485,210402,0,402
QB,21,4,2,12,2,210402,0,402
QB,21,4,2,7,62,210402,0,402
QB,21,4,2,10,69,210402,0,402
QB,21,4,2,8,445,210402,0,402
QB,21,4,2,11,53,210402,0,402
QB,21,4,2,6,782,210402,0,402
QB,21,4,2,1,70,210402,0,402
QB,21,4,2,4,163,210402,0,402
QB,21,4,2,2,46564,210402,0,402
QB,21,4,2,3,6846,210402,0,402
QB,21,4,2,5,1666,210402,0,402
QB,21,4,3,2,49288,210403,0,403
QB,21,4,3,11,23,210403,0,403
QB,21,4,3,3,4686,210403,0,403
QB,21,4,3,13,2,210403,0,403
QB,21,4,3,7,17,210403,0,403
QB,21,4,3,4,103,210403,0,403
QB,21,4,3,12,1,210403,0,403
QB,21,4,3,9,686,210403,0,403
QB,21,4,3,1,35,210403,0,403
QB,21,4,3,5,988,210403,0,403
QB,21,4,3,6,239,210403,0,403
QB,21,4,3,8,290,210403,0,403
QB,21,4,3,10,11,210403,0,403
QB,21,4,4,8,164,210404,0,404
QB,21,4,4,3,2932,210404,0,404
QB,21,4,4,4,99,210404,0,404
QB,21,4,4,6,69,210404,0,404
QB,21,4,4,5,427,210404,0,404
QB,21,4,4,9,402,210404,0,404
QB,21,4,4,11,13,210404,0,404
QB,21,4,4,2,47532,210404,0,404
QB,21,4,4,13,1,210404,0,404
QB,21,4,4,7,1,210404,0,404
QB,21,4,4,1,21,210404,0,404
QB,21,4,5,8,410,210405,0,405
QB,21,4,5,6,791,210405,0,405
